Note,f0_Hz,Q,kappa,T_s_ms
C2,65.41,3000,3.4187780385,52.266901674056
C3,130.81,2000,3.38794561425,25.8997447767755
C4,261.63,1500,4.1345627265,15.8030911076711
C5,523.25,1200,5.02490016875,9.60324924749164
C6,1046.5,800,5.523993075,5.27854092212136
C7,2093,600,5.9079579,2.82272236024845
